SubeIsim,SSN
Granada,30771996394
Barcelona,77174422940
Barcelona,77174422940
Sevilla,04932612487
Madrid,04932612487
Granada,62044630063
Bilbao,46299466828
Granada,90520314529
Barcelona,10636250531
Sevilla,30771996394
Madrid,13895894942
Málaga,13895894942
Zaragoza,41925485187
Vigo,23911029485
Zaragoza,67176676039
Barcelona,21993295413
Murcia,19824272295
Bilbao,77174422940
Murcia,21993295413
Málaga,33141374924
Bilbao,64329165450
Sevilla,86214279374
Bilbao,67406592685
Madrid,04932612487
Barcelona,56253278525
