Isim,SSN,Sinif_ID
Listening,19824272295,9441
Reading,77174422940,77
Speaking,46299466828,95
Reading,67176676039,18
Writing,67406592685,70
Listening,13895894942,24
Reading,86214279374,40
Listening,67176676039,79
Listening,09426674201,23
Speaking,30771996394,84
Reading,19386015996,84
Listening,09426674201,79
Listening,21993295413,9514
Reading,23911029485,85
Writing,04932612487,24
Speaking,67406592685,85
Writing,21993295413,9526
Speaking,90520314529,21
Speaking,90199794763,62
Listening,64509211728,62
Speaking,10636250531,96
Writing,13895894942,66
Speaking,30258525010,40
Reading,62044630063,32
Reading,86214279374,7771
Writing,46299466828,94
Writing,41925485187,21
Writing,67176676039,9441
Speaking,30258525010,36
Reading,77174422940,60
Speaking,10636250531,95
Speaking,09426674201,95
Speaking,41925485187,03
Writing,64329165450,61
Speaking,15174481708,15
Writing,23911029485,9547
Reading,09426674201,94
Reading,30258525010,21
Listening,86214279374,48
Reading,15174481708,95
