Fatura_No,Tutar,Tarih,SSN
0040,0,2020-01-15,30258525010
0991,0,2020-01-16,62044630063
1532,0,2020-01-17,67176676039
3133,27,2020-01-17,15174481708
7235,123,2020-01-15,90520314529
8820,49,2020-01-19,23911029485
3961,49,2020-01-15,56253278525
4816,65,2020-01-17,23911029485
2555,49,2020-01-18,41925485187
7449,97,2020-01-19,30258525010
1091,67,2020-01-19,04932612487
2415,159,2020-01-17,67406592685
4821,0,2020-01-15,62044630063
2085,87,2020-01-17,19386015996
8879,0,2020-01-18,56253278525
1992,240,2020-01-15,90199794763
8344,0,2020-01-16,90199794763
6496,76,2020-01-18,19824272295
5510,159,2020-01-16,33141374924
2804,0,2020-01-18,33141374924
0730,59,2020-01-17,09426674201
4166,45,2020-01-16,15174481708
0670,92,2020-01-17,41925485187
0807,0,2020-01-18,41925485187
1109,0,2020-01-15,46299466828
