SSN,Ad,Soyad,email,Cep,Ev,Dil4Ogr,Role,Start_Date,OgrNo,CalismaSaat
13895894942,George,Armstrong,3063 Cherokee Park,5638514066,6493038300,,Student,,68,
62044630063,Nicole,Kelley,038 Lawn Drive,9012562944,0277725566,,Registiration_Staff,,,
86214279374,Maximilian,Gray,60027 Quincy Street,6350865695,2942929486,Turkish,Teacher,2012-01-19,,010011101001000010000010111000101000111010000110111111010011101111010101011000011011111100110001110111101110010011001010011010110010001100101110011111101100001111001100
90520314529,Natalie,Chapman,2382 Gateway Crossing,7958050625,9807900590,,System_administrator,,,
23911029485,Martin,Thompson,76 Mcbride Trail,5199022419,4737972526,,System_administrator,,,
09426674201,Alan,Taylor,56571 Continental Alley,8997408081,6610409946,,System_administrator,,,
64329165450,Evelyn,Cunningham,5 Harbort Junction,6474009448,3762846998,Spanish,Teacher,2012-01-23,,100111111110100111000110101110111100011001110100100011000100010110011101010011000110011100000111000011110011111001000111001001001010011111110110101011111101111000111111
30771996394,Charlotte,Wells,7 Oak Court,8565627726,4566458783,,System_administrator,,,
67406592685,Mary,Rogers,90 Nevada Parkway,7432370182,1731637374,,Registiration_Staff,,,
67176676039,Kevin,Hawkins,23 Johnson Parkway,0265183664,1904833164,,Student,,19,
72452642000,Julia,Bailey,525 Butternut Trail,5332385075,7150702131,,System_administrator,,,
90199794763,Alen,Taylor,94 American Place,5508694828,9558480461,,System_administrator,,,
33141374924,Rubie,Smith,51503 Arizona Pass,2831470554,1519764782,,Registiration_Staff,,,
41925485187,Daniel,Allen,4 Kim Terrace,3053132050,1938465657,Turkish,Teacher,2012-01-24,,000110010010011111000011000000110000001000001011100010011001110100001101111100010101101001010101110110001011110010101010011110010111000011100100100111001001011010000010
77174422940,Brooke,Warren,3 Gulseth Junction,3066618928,8759055811,Spanish,Teacher,2012-01-19,,111110010011111110101111011010110001000010111110011101001011101100111111011101100001010101110101011010011011110011011100101100101000000000101100000010011000001101101101
04932612487,Adelaide,Watson,6932 Hazelcrest Circle,5308316641,6936605972,,Student,,85,
10636250531,Wilson,Barrett,308 Shopko Street,1114412452,0805944481,Turkish,Teacher,2012-01-17,,111100100000100010001110101000010111100111111010011100001110101101110001001110110000101111101000111001111111001100000010100100100011101110101100001100110100001011110110
30258525010,Kellan,Richardson,76 Pine View Center,5786202059,0114407776,Turkish,Teacher,2012-01-20,,010000111101100100011011010000011111010100100101111001011000010010000000011000101100111110110110010010111110101101010001011000100100000111000111000100001000011011100011
56253278525,Adelaide,Reed,6774 Kipling Avenue,5565637435,1901529181,,System_administrator,,,
15174481708,Briony,Carroll,7892 Beilfuss Street,9361406561,8396076059,English,Teacher,2012-01-18,,010011111100101100111110001100101001011111001100111100001110110110000100010100100000111011111010111100000100000010001110001100000011010100011111111010001110011010111101
19824272295,Mike,Roberts,47 Pawling Junction,3784969245,4684646091,,Student,,55,
21993295413,Ada,Higgins,4004 Hallows Place,9807186070,9718086044,,Student,,7628,
64509211728,Kellan,Thomas,03 Almo Point,6301982305,2444446211,,Student,,04,
46299466828,Miller,Stevens,8 Buena Vista Junction,7107859789,9069015959,,System_administrator,,,
19386015996,Rubie,Morrison,6869 Fremont Road,0379961565,3391089690,,System_administrator,,,
